player,squad,pos,age,minutes,cluster,cluster_name,distance_to_centroid,margin_to_next,silhouette,att_gls_p90,att_ast_p90,att_sh_p90,att_crs_p90,def_int_p90,def_tklw_p90,disc_fls_p90,disc_fld_p90,disc_crdy_p90,att_sot_pct
Ollie Watkins,Aston Villa,FW,29.0,2839,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.2025,2.5655,0.4265,0.5079365079365079,0.0952380952380952,2.634920634920635,0.2222222222222222,0.1587301587301587,0.4444444444444444,1.1111111111111112,1.0158730158730158,0.1269841269841269,45.8
Dominic Calvert-Lewin,Leeds United,FW,28.0,2721,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.351,2.7168,0.434,0.4635761589403974,0.0331125827814569,2.4172185430463577,0.2980132450331126,0.1655629139072847,0.1324503311258278,1.490066225165563,1.225165562913907,0.0993377483443708,46.6
Morgan Rogers,Aston Villa,MF,23.0,3280,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.4401,0.5124,0.1331,0.2747252747252747,0.1648351648351648,2.307692307692308,1.4010989010989012,0.3571428571428571,0.6318681318681318,1.2637362637362637,1.3461538461538465,0.1923076923076923,38.1
Antoine Semenyo,Manchester City,"MF,FW",25.0,1397,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.5431,1.8181,0.3354,0.4516129032258064,0.064516129032258,2.193548387096774,1.3548387096774193,0.3870967741935484,0.7096774193548387,1.096774193548387,0.4516129032258064,0.064516129032258,41.2
Callum Wilson,West Ham United,FW,33.0,1251,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.6695,2.2999,0.4001,0.5035971223021583,0.0719424460431654,2.733812949640288,0.3597122302158273,0.2158273381294964,0.1438848920863309,0.8633093525179856,1.0071942446043165,0.0719424460431654,42.1
Morgan Gibbs-White,Nottingham Forest,MF,25.0,3097,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.6745,1.2729,0.2705,0.436046511627907,0.1162790697674418,2.412790697674419,1.2209302325581397,0.3488372093023256,0.4651162790697674,0.7558139534883721,1.1918604651162792,0.0290697674418604,38.6
Viktor Gyökeres,Arsenal,FW,27.0,2224,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.706,2.6015,0.42,0.5668016194331984,0.0404858299595141,2.2267206477732797,0.3238866396761133,0.0404858299595141,0.2024291497975708,1.417004048582996,1.2550607287449391,0.2024291497975708,40.0
Beto,Everton,FW,27.0,1568,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.7724,2.7423,0.4341,0.5172413793103449,0.0574712643678161,2.4712643678160924,0.1149425287356322,0.0574712643678161,0.2873563218390805,1.8390804597701151,0.6896551724137931,0.1724137931034483,39.5
Tolu Arokodare,Wolves,FW,24.0,1419,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.7902,1.5062,0.286,0.1898734177215189,0.0632911392405063,2.911392405063291,0.0,0.3164556962025316,0.2531645569620253,1.1392405063291138,1.0759493670886076,0.0632911392405063,34.8
Danny Welbeck,Brighton,FW,34.0,2258,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.8018,2.5041,0.4112,0.5179282868525896,0.0398406374501992,2.231075697211155,0.1195219123505976,0.3187250996015936,0.5577689243027888,1.235059760956175,0.398406374501992,0.199203187250996,50.0
Noah Okafor,Leeds United,"FW,MF",25.0,1561,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.8134,1.182,0.2402,0.4624277456647399,0.0578034682080924,2.0231213872832368,2.0809248554913293,0.6936416184971098,0.8670520231213873,1.0404624277456649,0.8092485549132947,0.1734104046242774,42.9
Tijjani Reijnders,Manchester City,MF,27.0,1631,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.8199,0.6433,0.1529,0.2762430939226519,0.1104972375690607,2.707182320441989,2.3756906077348066,0.6077348066298343,0.2209944751381215,1.049723756906077,0.8287292817679557,0.1104972375690607,32.7
Kevin Schade,Brentford,"MF,FW",23.0,2745,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.835,0.8196,0.1773,0.2622950819672131,0.0983606557377049,1.8688524590163933,0.7540983606557377,0.6229508196721312,0.8852459016393442,1.639344262295082,1.4098360655737705,0.1967213114754098,42.1
João Pedro,Chelsea,"FW,MF",23.0,2661,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.9059,1.4351,0.2784,0.5067567567567567,0.1689189189189189,2.466216216216216,0.6081081081081081,0.2027027027027027,0.5743243243243243,1.2837837837837838,1.858108108108108,0.1689189189189189,38.4
Lukas Nmecha,Leeds United,FW,26.0,1083,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.9067,1.9587,0.3433,0.5,0.0833333333333333,2.5,0.8333333333333334,0.25,0.5833333333333334,1.5,1.5,0.0,53.3
Nick Woltemade,Newcastle United,"FW,MF",23.0,1902,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.9594,1.1289,0.2369,0.3791469194312796,0.1421800947867298,1.5165876777251184,0.1421800947867298,0.2369668246445497,0.6161137440758293,0.947867298578199,0.947867298578199,0.0,40.6
Richarlison,Tottenham Hotspur,"FW,MF",28.0,1964,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.9692,1.3034,0.2617,0.5045871559633027,0.18348623853211,2.7981651376146788,0.8256880733944953,0.3211009174311926,0.7339449541284403,1.055045871559633,1.5137614678899085,0.2293577981651376,42.6
Jean-Philippe Mateta,Crystal Palace,FW,28.0,2218,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.9963,2.3579,0.3976,0.4878048780487805,0.0,2.5609756097560976,0.4471544715447154,0.2439024390243902,0.1626016260162601,0.8536585365853658,0.7723577235772358,0.08130081300813,50.8
Wilson Isidor,Sunderland,FW,24.0,1165,0,"High goals, shots, shot accuracy; low interceptions, tackles won",1.9963,2.4652,0.4004,0.4651162790697674,0.0,3.333333333333333,0.0,0.1550387596899224,0.6201550387596899,1.0852713178294573,0.5426356589147286,0.0775193798449612,39.5
Igor Jesus,Nottingham Forest,FW,24.0,2298,0,"High goals, shots, shot accuracy; low interceptions, tackles won",2.0619,0.911,0.1977,0.2352941176470588,0.1568627450980392,2.7450980392156863,0.392156862745098,0.0784313725490196,0.6274509803921569,1.6470588235294117,1.568627450980392,0.0784313725490196,30.0
Bryan Mbeumo,Manchester Utd,"MF,FW",25.0,2609,0,"High goals, shots, shot accuracy; low interceptions, tackles won",2.0866,0.4439,0.1194,0.3793103448275862,0.1034482758620689,2.5172413793103448,3.6206896551724137,0.2413793103448276,0.3793103448275862,0.7931034482758621,0.9655172413793104,0.1379310344827586,43.8
Evanilson,Bournemouth,FW,25.0,2742,0,"High goals, shots, shot accuracy; low interceptions, tackles won",2.0894,1.2251,0.245,0.1967213114754098,0.0327868852459016,2.360655737704918,0.0983606557377049,0.1967213114754098,0.1639344262295081,0.8524590163934426,1.213114754098361,0.0655737704918032,31.9
Raúl Jiménez,Fulham,FW,34.0,2189,0,"High goals, shots, shot accuracy; low interceptions, tackles won",2.1507,1.4934,0.2781,0.3703703703703703,0.1234567901234567,3.0041152263374484,0.2880658436213991,0.2880658436213991,0.823045267489712,1.8930041152263373,1.39917695473251,0.205761316872428,24.7
Jack Hinshelwood,Brighton,MF,20.0,1741,0,"High goals, shots, shot accuracy; low interceptions, tackles won",2.2154,0.8975,0.1936,0.2072538860103626,0.155440414507772,1.9170984455958548,0.3626943005181347,0.310880829015544,0.6735751295336787,1.6580310880829014,0.6217616580310881,0.0,40.5
Harvey Barnes,Newcastle United,"FW,MF",27.0,1966,0,"High goals, shots, shot accuracy; low interceptions, tackles won",2.2931,0.5741,0.1379,0.3211009174311926,0.0458715596330275,2.6605504587155964,3.3944954128440368,0.1376146788990825,0.2293577981651376,0.7798165137614679,1.055045871559633,0.0458715596330275,36.2
